migration_id,source_url,target_owner,target_path,canonical_url,action,cutover_phase,content_or_evidence_prerequisite,status,equivalence_approved_by,equivalence_approved_at,destination_http_status,destination_indexable,destination_canonical_verified,redirect_ready,notes
WD-001,https://www.sanctify.in/sanctify-facility/web-designing-company-in-goa-india/,goa_specialist,/,https://webdesigncompanygoa.in/,301_exact_match,core_cutover,"Specialist homepage returns stable 200, is self-canonical, and preserves or improves service scope and proof",blocked_specialist_403,,,,,,false,"Primary intent transfer; retarget Sanctify homepage only after this redirect is healthy"
WD-002,https://www.sanctify.in/how-to-choose-web-designing-company-goa-sanctify/,goa_specialist,/guides/choose-web-design-company-goa/,https://webdesigncompanygoa.in/guides/choose-web-design-company-goa/,301_exact_match,guide_batch,"Guide exists with equivalent decision support, accurate claims, and contextual proof",planned,,,,,,false,"Update all internal links in the same controlled release"
WD-003,https://www.sanctify.in/restaurant-website-design-goa-online-ordering-sanctify/,goa_specialist,/industries/restaurant-website-design-goa/,https://webdesigncompanygoa.in/industries/restaurant-website-design-goa/,301_exact_match,vertical_batch,"Restaurant destination contains specific features, proof or tailored demo, and equivalent useful content",planned,,,,,,false,"No cloned location or industry boilerplate"
WD-004,https://www.sanctify.in/small-business-website-design-goa-affordable-sanctify/,goa_specialist,,,content_audit_required,post_core,"Audit source content, queries, backlinks, and conversions before selecting an equivalent destination",needs_content_audit,,,,,,false,"Do not assume the homepage is equivalent; approve a final target before changing this row to an executable redirect"
WD-005,https://www.sanctify.in/seo-friendly-web-design-goa-google-rankings-sanctify/,goa_specialist,,,content_audit_required,guide_batch,"Determine whether the source belongs within an existing specialist service/guide or justifies a substantial distinct guide",needs_content_audit,,,,,,false,"Do not create a thin SEO-friendly-design page or make guaranteed ranking claims"
WD-006,https://www.sanctify.in/corporate-website-design-goa-professional-sanctify/,goa_specialist,,,content_audit_required,vertical_batch,"Determine whether homepage/B2B coverage is equivalent or a distinct corporate page has enough proof and value",needs_content_audit,,,,,,false,"No destination is executable until intent and content equivalence are approved"
WD-007,https://www.sanctify.in/real-estate-website-design-goa-sanctify/,goa_specialist,/industries/real-estate-website-design-goa/,https://webdesigncompanygoa.in/industries/real-estate-website-design-goa/,301_exact_match,vertical_batch,"Destination covers listings, maps, filters, CRM or lead routing, mobile UX, and approved proof",planned,,,,,,false,"Preserve relevant source assets and links"
WD-008,https://www.sanctify.in/responsive-web-design-goa-mobile-first-sanctify/,goa_specialist,,,content_audit_required,service_batch,"Audit source intent and decide whether responsive design belongs on the homepage, redesign page, performance page, or a substantial guide",needs_content_audit,,,,,,false,"Speed optimization is not automatically equivalent to responsive or mobile-first design"
WD-009,https://www.sanctify.in/wordpress-website-design-goa-sanctify/,goa_specialist,/wordpress-website-design-goa/,https://webdesigncompanygoa.in/wordpress-website-design-goa/,301_exact_match,service_batch,"WordPress is verified as offered and destination has platform-specific process, scope, and proof",conditional_service_verification,,,,,,false,"Do not publish or redirect until capability is approved"
WD-010,https://www.sanctify.in/website-design-cost-goa-2026-sanctify/,goa_specialist,/website-design-cost-goa/,https://webdesigncompanygoa.in/website-design-cost-goa/,301_exact_match,commercial_batch,"Approved price ranges or honest scope factors are present and all date-sensitive details are current",conditional_commercial_approval,,,,,,false,"Single owner for all website cost and pricing intent"
WD-011,https://www.sanctify.in/ecommerce-website-development-goa-pricing-sanctify/,goa_specialist,/ecommerce-website-development-goa/,https://webdesigncompanygoa.in/ecommerce-website-development-goa/,301_exact_match,service_batch,"Destination covers ecommerce build and pricing factors with verified platforms and integrations",planned,,,,,,false,"Website cost support can link to the single specialist cost guide"
WD-012,https://www.sanctify.in/hotel-website-design-goa-payment-gateway-sanctify/,goa_specialist,/industries/hotel-website-design-goa/,https://webdesigncompanygoa.in/industries/hotel-website-design-goa/,301_exact_match,vertical_batch,"Destination contains hospitality-specific booking and payment requirements plus approved proof or demonstrable expertise",planned,,,,,,false,"Preserve useful hospitality details and avoid unsupported outcome claims"
WD-013,https://www.sanctify.in/web-design-goa-websites-that-convert/,goa_specialist,/guides/website-conversion-goa-business/,https://webdesigncompanygoa.in/guides/website-conversion-goa-business/,301_exact_match,guide_batch,"Destination is a substantial conversion guide with verifiable guidance and links to specialist services",planned,,,,,,false,"Broader marketing or CRO intent remains on Sanctify when materially distinct"
WD-014,https://www.sanctify.in/professional-web-design-development-services-in-goa-sanctifygoa/,goa_specialist,,,content_audit_required,core_cutover,"Compare source content, query ownership, backlinks, and conversions against specialist homepage and development page",needs_content_audit,,,,,,false,"One source URL must resolve to one final equivalent destination; an HTTP redirect cannot split between targets"
WD-015,https://www.sanctify.in/sanctify-the-best-solution-for-dynamic-website-development/,goa_specialist,/website-development-goa/,https://webdesigncompanygoa.in/website-development-goa/,301_exact_match,service_batch,"Development destination covers dynamic, CMS, and custom development and replaces unsupported superlatives with proof",planned,,,,,,false,"Retain only verified capability and evidence"
WD-016,https://www.sanctify.in/category/sanctify-news/digital-marketing/web-designing/,goa_specialist,,,inventory_required,final_cleanup,"Inventory category pagination, indexed posts, traffic, links, and whether any useful replacement archive is needed",needs_inventory,,,,,,false,"Do not blanket-redirect category archives; use 404 or 410 when no useful equivalent exists"
